virus,location,strain,year,accession_number,collection_date,area
hCoV-19,England,CAMB-771C5,2020,EPI_ISL_438511,2020-04-01,Europe
hCoV-19,England,CAMB-75859,2020,EPI_ISL_440354,2020-03-19,Europe
hCoV-19,DRC,11623,2020,EPI_ISL_527566,2020-05-25,Africa
hCoV-19,England,SHEF-C4581,2020,EPI_ISL_432789,2020-04-02,Europe
hCoV-19,England,QEUH-7A1F2B,2020,EPI_ISL_533059,2020-07-10,Europe
hCoV-19,Scotland,EDB2554,2020,EPI_ISL_439228,2020-04-23,Europe
hCoV-19,England,20166016202,2020,EPI_ISL_466541,2020-04-14,Europe
hCoV-19,Portugal,PT1093,2020,EPI_ISL_511640,2020-03-28,Europe
hCoV-19,Wales,PHWC-15D23A,2020,EPI_ISL_472687,2020-05-08,Europe
hCoV-19,Spain,CL-IBV-97006315,2020,EPI_ISL_537679,2020-05-02,Europe
hCoV-19,Switzerland,ZH-UZH-1000482984,2020,EPI_ISL_508866,2020-03-14,Europe
hCoV-19,Scotland,CVR2011,2020,EPI_ISL_477843,2020-04-09,Europe
hCoV-19,England,NORT-29BF65,2020,EPI_ISL_507125,2020-06-20,Europe
hCoV-19,USA,WI-GMF-06787,2020,EPI_ISL_489910,2020-06-17,NorthAmerica
hCoV-19,England,QEUH-9652EC,2020,EPI_ISL_531109,2020-08-12,Europe
hCoV-19,Wales,PHWC-2F01A,2020,EPI_ISL_446188,2020-04-04,Europe
hCoV-19,Spain,MD-IBV-004959,2020,EPI_ISL_481079,2020-05-03,Europe
hCoV-19,USA,MA-MGH-00681,2020,EPI_ISL_460267,2020-03-22,NorthAmerica
hCoV-19,England,QEUH-7A7848,2020,EPI_ISL_533032,2020-07-09,Europe
hCoV-19,Scotland,EDB5731,2020,EPI_ISL_473848,2020-04-09,Europe
hCoV-19,USA,MI-UM-2006S001095,2020,EPI_ISL_495578,2020-04-18,NorthAmerica
hCoV-19,Portugal,PT0316,2020,EPI_ISL_454032,2020-03-14,Europe
hCoV-19,New Zealand,20VR1858,2020,EPI_ISL_456286,2020-03-30,Oceania
hCoV-19,Uganda,UG008,2020,EPI_ISL_451190,2020-03-30,Africa
hCoV-19,England,20109050306,2020,EPI_ISL_417264,2020-03-04,Europe
hCoV-19,England,LIVE-A7584,2020,EPI_ISL_517039,2020-03-28,Europe
hCoV-19,South Africa,KRISP-0493,2020,EPI_ISL_498064,2020-07-07,Africa
hCoV-19,USA,WA-S842,2020,EPI_ISL_463332,2020-04-21,NorthAmerica
hCoV-19,England,BRIS-1854424,2020,EPI_ISL_492437,2020-04-29,Europe
hCoV-19,England,LIVE-A2756,2020,EPI_ISL_500006,2020-05-20,Europe
hCoV-19,England,LIVE-9E007,2020,EPI_ISL_453260,2020-04-03,Europe
hCoV-19,Italy,ABR-IZSGC-TE5780,2020,EPI_ISL_420567,2020-03-21,Europe
hCoV-19,USA,UT-04521,2020,EPI_ISL_522348,2020-05-22,NorthAmerica
hCoV-19,USA,CT-Yale-144,2020,EPI_ISL_435714,2020-03-21,NorthAmerica
hCoV-19,Northern Ireland,QEUH-969EA8,2020,EPI_ISL_530830,2020-08-14,Europe
hCoV-19,India,TG-CCMB-M151,2020,EPI_ISL_495186,2020-06-06,Asia
hCoV-19,Spain,CL-IBV-97006226,2020,EPI_ISL_537372,2020-04-13,Europe
hCoV-19,Scotland,GCVR-171EF0,2020,EPI_ISL_469962,2020-03-31,Europe
hCoV-19,Australia,SAP133,2020,EPI_ISL_451138,2020-03-25,Oceania
hCoV-19,England,QEUH-96F419,2020,EPI_ISL_530525,2020-08-17,Europe
hCoV-19,Northern Ireland,QEUH-969D14,2020,EPI_ISL_530894,2020-08-14,Europe
hCoV-19,Chile,Santiago_63,2020,EPI_ISL_445359,2020-03-16,SouthAmerica
hCoV-19,Wales,PHWC-2B290,2020,EPI_ISL_432318,2020-04-08,Europe
hCoV-19,Madagascar,IP-01861,2020,EPI_ISL_508863,2020-03-22,Africa
hCoV-19,USA,WI-UW-75,2020,EPI_ISL_421333,2020-03-26,NorthAmerica
hCoV-19,England,LIVE-9DB25,2020,EPI_ISL_449617,2020-04-29,Europe
